"Subject","Session","Block","Trial","LocationNumber","ClickNumber","Timestamp","SetSize","LocationX","LocationY","ColorIndex","TrueColor","RespColor","Error","RT"
"0","1","1","17","1","2","1667572942","4","5.821774357655979","1.4515313735980064","54","[ 1.   -0.12  0.  ]","[-1.0, -1.0, -1.0]","None","2.6698293999943417"
"0","1","1","17","2","1","1667572942","4","-1.75423022833642","5.737828535778213","92","[ 1.   -0.22  0.51]","[-1.0, -1.0, -1.0]","None","0.7921659999992698"
"0","1","1","17","3","4","1667572942","4","-5.523029120714642","-2.344386770935641","162","[0.29 0.22 1.  ]","[-1.0, -1.0, -1.0]","None","3.951924399996642"
"0","1","1","17","4","3","1667572942","4","2.3443867709356407","-5.523029120714643","118","[ 1.   -0.11  0.88]","[-1.0, -1.0, -1.0]","None","3.3511459000001196"
"0","1","1","18","1","4","1667572951","6","5.767570175629913","1.653824134901995","18","[ 0.98  0.11 -0.33]","[-1.0, -1.0, -1.0]","None","4.028379800001858"
"0","1","1","18","2","3","1667572951","6","1.653824134901995","5.767570175629913","255","[-1.    0.5   0.65]","[-1.0, -1.0, -1.0]","None","3.449732800014317"
"0","1","1","18","3","2","1667572951","6","-4.091990160374991","4.388122209715023","180","[-0.2   0.32  1.  ]","[-1.0, -1.0, -1.0]","None","2.8254263999988325"
"0","1","1","18","4","1","1667572951","6","-5.737828535778212","-1.7542302283364206","219","[-1.    0.46  1.  ]","[-1.0, -1.0, -1.0]","None","1.976544000004651"
"0","1","1","18","5","6","1667572951","6","-1.4515313735980067","-5.821774357655979","48","[ 1.   -0.1  -0.07]","[-1.0, -1.0, -1.0]","None","5.202220800012583"
"0","1","1","18","6","5","1667572951","6","4.5962666587138665","-3.8567256581192373","118","[ 1.   -0.11  0.88]","[-1.0, -1.0, -1.0]","None","4.561215599998832"
"0","1","1","19","1","2","1667572957","2","2.2476395604954718","5.5631031274007245","86","[ 1.   -0.22  0.44]","[-1.0, -1.0, -1.0]","None","1.7030379999778233"
"0","1","1","19","2","1","1667572957","2","-2.0521208599540115","-5.638155724715451","210","[-1.    0.44  1.  ]","[-1.0, -1.0, -1.0]","None","0.9065180999750737"
